title,price,rating,reviews,availability,product_url
6 ft. Fold-in-Half Table: Almond,$59.,,,0,https://www.homedepot.com/p/Lifetime-6-ft-Fold-in-Half-Table-Almond-80454/205825870
"Baldwin 60 in. Round Folding Banquet Table, Plastic Top, Metal Frame, Speckled Grey",$204.,,,0,https://www.homedepot.com/p/Baldwin-60-in-Round-Folding-Banquet-Table-Plastic-Top-Metal-Frame-Speckled-Grey-HMDST60R/328780151
37 in. Commercial White Granite Square Resin Table,$86.,,,0,https://www.homedepot.com/p/Lifetime-37-in-Commercial-White-Granite-Square-Resin-Table-80783/313307692
6 ft. Gray Nesting Resin Folding Table (Commercial),$102.,,,0,https://www.homedepot.com/p/Lifetime-6-ft-Gray-Nesting-Resin-Folding-Table-Commercial-80817/324845760
4 ft. Plastic Adjustable Folding Banquet Table in Earth Tan,,,,0,https://www.homedepot.com/p/HDX-4-ft-Plastic-Adjustable-Folding-Banquet-Table-in-Earth-Tan-TA2448HF01/315687259
8 ft. White Gray Sand Granite Plastic Top Folding Banquet Table (Commercial),$157.,,,0,https://www.homedepot.com/p/Lifetime-8-ft-White-Gray-Sand-Granite-Plastic-Top-Folding-Banquet-Table-Commercial-22980/322437114
6 ft. Earth Tan Folding Resin Table,$54.,,,Not Available,https://www.homedepot.com/p/HDX-6-ft-Earth-Tan-Folding-Resin-Table-TA3072FX03/206409234
72 in. White Plastic Portable Folding Banquet Table,$130.,,,Not Available,https://www.homedepot.com/p/Lifetime-72-in-White-Plastic-Portable-Folding-Banquet-Table-22901/100656193
White Granite Round Folding Table,$166.,,,0,https://www.homedepot.com/p/Lifetime-White-Granite-Round-Folding-Table-25402/202736535
Rectangular Black Resin Folding Banquet Tables,$66.,,,0,https://www.homedepot.com/p/Lifetime-Rectangular-Black-Resin-Folding-Banquet-Tables-80852/312435105
8 ft. Fold-in-Half Table Almond,$83.,,,0,https://www.homedepot.com/p/Lifetime-8-ft-Fold-in-Half-Table-Almond-80732/305551874
4 ft. One Hand Adjustable Height Fold-in-Half Resin Table; Almond,,,,0,https://www.homedepot.com/p/Lifetime-4-ft-One-Hand-Adjustable-Height-Fold-in-Half-Resin-Table-Almond-80943/322152748
title,price,rating,reviews,availability,product_url
6 ft. Fold-in-Half Table: Almond,$59.,,,0 in stock,https://www.homedepot.com/p/Lifetime-6-ft-Fold-in-Half-Table-Almond-80454/205825870
"Baldwin 60 in. Round Folding Banquet Table, Plastic Top, Metal Frame, Speckled Grey",$204.,,,0 in stock,https://www.homedepot.com/p/Baldwin-60-in-Round-Folding-Banquet-Table-Plastic-Top-Metal-Frame-Speckled-Grey-HMDST60R/328780151
37 in. Commercial White Granite Square Resin Table,$86.,,,0 in stock,https://www.homedepot.com/p/Lifetime-37-in-Commercial-White-Granite-Square-Resin-Table-80783/313307692
6 ft. Gray Nesting Resin Folding Table (Commercial),$102.,,,0 in stock,https://www.homedepot.com/p/Lifetime-6-ft-Gray-Nesting-Resin-Folding-Table-Commercial-80817/324845760
4 ft. Plastic Adjustable Folding Banquet Table in Earth Tan,,,,0 in stock,https://www.homedepot.com/p/HDX-4-ft-Plastic-Adjustable-Folding-Banquet-Table-in-Earth-Tan-TA2448HF01/315687259
8 ft. White Gray Sand Granite Plastic Top Folding Banquet Table (Commercial),$157.,,,0 in stock,https://www.homedepot.com/p/Lifetime-8-ft-White-Gray-Sand-Granite-Plastic-Top-Folding-Banquet-Table-Commercial-22980/322437114
6 ft. Earth Tan Folding Resin Table,$54.,,,©2000-2024 Home Depot,https://www.homedepot.com/p/HDX-6-ft-Earth-Tan-Folding-Resin-Table-TA3072FX03/206409234
72 in. White Plastic Portable Folding Banquet Table,$130.,,,©2000-2024 Home Depot,https://www.homedepot.com/p/Lifetime-72-in-White-Plastic-Portable-Folding-Banquet-Table-22901/100656193
White Granite Round Folding Table,$166.,,,0 in stock,https://www.homedepot.com/p/Lifetime-White-Granite-Round-Folding-Table-25402/202736535
Rectangular Black Resin Folding Banquet Tables,$66.,,,0 in stock,https://www.homedepot.com/p/Lifetime-Rectangular-Black-Resin-Folding-Banquet-Tables-80852/312435105
8 ft. Fold-in-Half Table Almond,$83.,,,0 in stock,https://www.homedepot.com/p/Lifetime-8-ft-Fold-in-Half-Table-Almond-80732/305551874
4 ft. One Hand Adjustable Height Fold-in-Half Resin Table; Almond,,,,0 in stock,https://www.homedepot.com/p/Lifetime-4-ft-One-Hand-Adjustable-Height-Fold-in-Half-Resin-Table-Almond-80943/322152748
